
 num     #instances         #bytes  class name
 188:           662          31776  java.nio.HeapCharBuffer
 189:           793          31720  java.io.StringReader
 190:          1918          30688  java.lang.ThreadLocal
 191:           762          30480  java.util.HashMap$EntryIterator
 192:           633          30384  org.apache.solr.util.stats.EWMA
 193:           236          30208  org.apache.lucene.codecs.lucene41.Lucene41SkipReader
 194:          1244          29856  org.wltea.analyzer.core.QuickSortSet
 195:           263          29456  java.net.SocksSocketImpl
 196:           517          28952  org.apache.lucene.analysis.util.CharArrayMap
 197:          1100          28688  [Lorg.apache.lucene.analysis.util.TokenFilterFactory;
 198:           578          27744  org.apache.lucene.index.FieldInvertState
 199:          1156          27744  org.apache.lucene.index.TermsHashPerField$PostingsBytesStartArray
 200:           578          27744  org.apache.lucene.index.DocFieldProcessorPerField
 201:           578          27744  org.apache.lucene.index.FreqProxTermsWriterPerField
 202:           690          27600  sun.misc.Cleaner
 203:           681          27240  java.lang.ref.Finalizer
 204:          1135          27240  org.wltea.analyzer.cfg.DefaultConfig
 205:          1135          27240  org.wltea.analyzer.core.CN_QuantifierSegmenter
 206:           710          26112  [Lorg.apache.lucene.index.IndexableField;
 207:           544          26112  java.util.TreeMap
 208:          1077          25848  com.sun.jmx.mbeanserver.NamedObject
 209:           236          25744  [Ljava.lang.StackTraceElement;
 210:          1551          24816  java.util.Formatter$Flags
 211:           616          24640  java.math.BigInteger
 212:           428          23968  java.util.Hashtable
 213:           498          23904  org.apache.lucene.index.AtomicReaderContext
 214:           594          23760  sun.nio.ch.FileChannelImpl$Unmapper
 215:           594          23760  org.apache.solr.util.ConcurrentLRUCache$CacheEntry
 216:           742          23744  org.apache.lucene.document.Field$ReusableStringReader
 217:          1459          23344  org.apache.lucene.document.Document
 218:           137          23016  org.apache.catalina.connector.Request
 219:           719          23008  sun.security.util.DerValue
 220:           719          23008  sun.security.util.DerInputBuffer
 221:          1426          22816  java.util.Collections$UnmodifiableSet
 222:           946          22704  java.util.Formatter$FixedString
 223:           322          22632  [Lorg.apache.lucene.index.DocFieldProcessorPerField;
 224:          1408          22528  org.apache.lucene.analysis.Analyzer$GlobalReuseStrategy
 225:           469          22512  org.apache.lucene.index.FreqProxTermsWriterPerField$FreqProxPostingsArray
 226:           562          22480  org.apache.solr.search.DocSlice
 227:           562          22480  org.apache.solr.schema.SchemaField
 228:           560          22400  org.apache.solr.search.QueryResultKey
 229:           558          22320  org.apache.lucene.search.SortField
 230:           914          21936  org.apache.lucene.util.fst.BytesRefFSTEnum$InputOutput
 231:           137          21920  org.apache.coyote.Request
 232:           908          21792  java.util.Collections$SynchronizedSet
 233:           529          21160  org.apache.lucene.util.packed.Packed64
